partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Canada,CAN,2018,4489836.099546818,World,Americas,Northern America,Europe,Western Europe,BEL,Belgium
Japan,JPN,2018,4318452.460346671,World,Asia,Eastern Asia,Europe,Western Europe,BEL,Belgium
United Arab Emirates,ARE,2018,4234506.907672098,World,Asia,Western Asia,Europe,Western Europe,BEL,Belgium
Bunkers,BUN,2018,4064009.0224524844,,,,Europe,Western Europe,BEL,Belgium
Denmark,DNK,2018,4044036.0543424897,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
Hungary,HUN,2018,3694325.405723341,World,Europe,Eastern Europe,Europe,Western Europe,BEL,Belgium
Nigeria,NGA,2018,3398309.767206646,World,Africa,Western Africa,Europe,Western Europe,BEL,Belgium
Portugal,PRT,2018,3035517.364026116,World,Europe,Southern Europe,Europe,Western Europe,BEL,Belgium
Finland,FIN,2018,2977892.521046099,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
Ireland,IRL,2018,2945519.425510319,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
Romania,ROM,2018,2779811.7719712127,,,,Europe,Western Europe,BEL,Belgium
Israel,ISR,2018,2587943.5591819417,World,Asia,Western Asia,Europe,Western Europe,BEL,Belgium
Australia,AUS,2018,2553685.6718489816,World,Oceania,Australia and New Zealand,Europe,Western Europe,BEL,Belgium
"Hong Kong, China",HKG,2018,2551573.279476218,World,Asia,Eastern Asia,Europe,Western Europe,BEL,Belgium
Marshall Islands,MHL,2018,2356034.206014105,World,Oceania,Micronesia,Europe,Western Europe,BEL,Belgium
Norway,NOR,2018,2242023.2231139974,World,Europe,Northern Europe,Europe,Western Europe,BEL,Belgium
United States,USA,2018,76491.543095,World,Americas,Northern America,Americas,Central America,BLZ,Belize
United Kingdom,GBR,2018,73084.40828500001,World,Europe,Northern Europe,Americas,Central America,BLZ,Belize
Jamaica,JAM,2018,14912.414155,World,Americas,Caribbean,Americas,Central America,BLZ,Belize
Ireland,IRL,2018,12758.29742,World,Europe,Northern Europe,Americas,Central America,BLZ,Belize
Barbados,BRB,2018,10280.160269999998,World,Americas,Caribbean,Americas,Central America,BLZ,Belize
Trinidad and Tobago,TTO,2018,9226.131495,World,Americas,Caribbean,Americas,Central America,BLZ,Belize
Guatemala,GTM,2018,8862.738110000002,World,Americas,Central America,Americas,Central America,BLZ,Belize
